data_path,sheet_name,data_name,y_true,y_pred,correct
Model_D,HalogenLamp,HalogenLamp_D4,1,0,False
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,HalogenLamp,HalogenLamp_D4,1,1,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
Model_D,FluorescentLamp,FluorescentLamp_D0,0,0,True
